Sector,2011 Response status,2010 Response status,,Carbon disclosure score,Scope 3,Scope 2,Company,Non-Public,Carbon performance band,Total Emissions1,Scope 3 source type,Scope 1
Information Technology,AQ,AQ,,68,46270,147288,Cognizant Technology Solutions,,C,175935,Tr,28647
Consumer Staples,AQ,AQ,,80,105969,425207,Colgate Palmolive,,B,692284,PGS TI Wa Tr Lu,267077
Financials,AQ,AQ,,89,120295,236623,Commonwealth Bank of Australia,,A,251696,TI Wa Tr SE,15073
Energy,AQ,AQ,,41,512000000,10024000,ConocoPhillips,,-,68005000,USP,57981000
Financials,AQ,AQ,,57,10705,9856,Credit Agricole,,D,10613,Tr,757
Financials,AQ,AQ,,81,138693,207174,Credit Suisse,,C,227120,PGS Fu Wa Tr,19946
Health Care,AQ,AQ,,72,13000,133858,CSL,,D,185318,Tr,51460
Industrials,AQ,AQ,,85,20899,260874,CSX,,A,5475420,Tr,5214546
Consumer Staples,AQ,AQ,,67,10933,1545951,CVS Caremark,,D,1766839,Tr,220888
Consumer Discretionary,AQ,AQ,,78,31064085,2635116,Daimler,,B,3699102,TI Tr EC USP DSP,1063986
Consumer Staples,AQ,AQ,,89,1984000,799805,Danone,,A-,1329924,TSP DSP Oth,530119
Financials,AQ,AQ,,66,10520,37254,Danske Bank,,E,41656,PGS Tr,4402
Industrials,AQ,AQ,,63,37656,881473,Deere,,C,1336644,Tr,455171
Information Technology,AQ,AQ,,72,112679,404791,Dell,,C,438906,Tr,34115
Financials,AQ,AQ,,82,115654.44,470290.35,Deutsche Bank,,B,496933.65,Tr,26643.3
Industrials,AQ,AQ,,99,50000,1000000,Deutsche Post,,A-,6300000,Tr Oth,5300000
,AQ,AQ,,79,91184,3093352,Deutsche Telekom,,C,3484504,Tr,391152
Energy,AQ,AQ,,59,16063,490000,Devon Energy,,D,4170000,Fu,3680000
Consumer Staples,AQ,AQ,,89,200000,105348,Diageo,,A-,724509,TI,619161
Financials,AQ,AQ,,63,8487.6,10716.4,DnB NOR,,D,11892.46,Wa Tr,1176.06
Materials,AQ,AQ,,95,3025000,9041000,Dow Chemical,,A-,38084000,TI Tr TSP,29043000
Materials,AQ,AQ,,80,146253,4683000,E.I. du Pont de Nemours and Company,,B,15432000,Tr,10749000
Utilities,AQ,AQ,,80,143866848,5441394,E.ON AG,,B,132326014,PGS Eq Fu TI Tr EC USP,126884620
Consumer Discretionary,AQ,AQ,,63,21600,196284,eBay,,C,207746,Tr,11462
Utilities,AQ,AQ,,62,685702,670700,Electricite de France (EDF),,D,81246570,PGS TI Tr,80575870
Health Care,AQ,AQ,,61,204478,1167098,Eli Lilly,,C,1621619,TI Wa Tr EC Oth,454521
Information Technology,AQ,AQ,,88,105029,318035,EMC,,B,346066,Tr,28031
Energy,AQ,AQ,,61,203200,2865000,Enbridge,,C,4598000,PGS Fu Tr,1733000
