Country,Year, Population (People), GDP-PPP (Million Intl$ (2005)), GDP-USD (Million US$ (2005)), Energy Use (Thous. tonnes oil eq. (ktoe))
Afghanistan,1960,8774440,,,
Albania,1960,1618829,,,
Algeria,1960,11277757,,19911.94812,
Angola,1960,4965988,,,
Antigua & Barbuda,1960,54681,,,
Argentina,1960,20623998,,63272.61434,
Armenia,1960,1867396,,,
Australia,1960,10276477,,137427.3916,31482.545
Austria,1960,7047539,,76547.9505,10897.338
Azerbaijan,1960,3897889,,,
Bahamas,1960,109526,,1465.555337,
Bahrain,1960,162501,,,
Bangladesh,1960,49537147,,12535.24871,
Barbados,1960,230858,,1130.125934,
Belarus,1960,8198000,,,
Belgium,1960,9153489,,102243.6864,23059.094
Belize,1960,92068,,89.09694928,
Benin,1960,2431620,,955.3531812,
Bhutan,1960,224155,,,
Bolivia,1960,3353125,,2931.591077,
Bosnia & Herzegovina,1960,3305501,,,
Botswana,1960,524173,,199.0042926,
Brazil,1960,72775883,,125652.3905,
Brunei,1960,81817,,,
Bulgaria,1960,7867374,,,
Burkina Faso,1960,4829291,,910.098557,
Burundi,1960,2786740,,409.6670702,
Cambodia,1960,5720019,,,
Cameroon,1960,5361367,,3778.539607,
Canada,1960,17909009,,231588.8665,76139.004
Cape Verde,1960,212247,,,
Central African Republic,1960,1503501,,721.2297221,
Chad,1960,3002596,,1652.147604,
Chile,1960,7649026,,18963.35163,
China,1960,667070000,,83178.38696,
Colombia,1960,16006395,,23242.41121,
Comoros,1960,190475,,,
Congo,1960,1013581,,969.9671773,
"Congo, Dem. Republic",1960,15248246,,6769.723689,
Cook Islands,1960,,,,
Costa Rica,1960,1334044,,2457.830671,
Cote d'Ivoire,1960,3474724,,3147.474547,
Croatia,1960,4140000,,,
Cuba,1960,7141130,,,
Cyprus,1960,572929,,,
Czech Republic,1960,9602006,,,
Denmark,1960,4579603,,78889.95701,8806.456
Djibouti,1960,83636,,,
Dominica,1960,60016,,,
Dominican Republic,1960,3311788,,3594.124891,
Ecuador,1960,4514593,,7192.460807,
Egypt,1960,27997745,,9069.473731,
El Salvador,1960,2772970,,,
Equatorial Guinea,1960,252115,,,
Eritrea,1960,1404810,,,
Estonia,1960,1215650,,,
Ethiopia,1960,22151218,,,
Fiji,1960,393383,,692.1892892,
Finland,1960,4429634,,45687.55294,9731.698
France,1960,46647521,,520325.2663,79221.93
Gabon,1960,498823,,1392.173996,
Gambia,1960,367929,,,
Georgia,1960,3645600,,,
Germany,1960,72814900,,,142173.561
Ghana,1960,6652516,,3203.942162,
Greece,1960,8331725,,44655.0447,2408.344
Grenada,1960,89861,,,
Guatemala,1960,4140636,,4847.547518,
Guinea,1960,3576684,,,
Guinea-Bissau,1960,635956,,,
Guyana,1960,560296,,431.1766849,
Haiti,1960,3869288,,,
Honduras,1960,2002333,,1628.721727,
Hungary,1960,9983967,,20338.04104,
Iceland,1960,175574,,2696.572652,541.244
India,1960,449595489,,102659.8545,
Indonesia,1960,88692697,,25368.84564,
Iran,1960,21958460,,,
Iraq,1960,7289759,,,
Ireland,1960,2828600,,,3730.393
Israel,1960,2114020,,11919.76821,
Italy,1960,50199700,,452269.6789,39899.754
Jamaica,1960,1629003,,,
Japan,1960,92500572,,654852.1801,80837.204
Jordan,1960,844000,,,
Kazakhstan,1960,9995997,,,
Kenya,1960,8105440,,2610.78608,
Kiribati,1960,32970,,,
Korea (North),1960,11424179,,,
Korea (South),1960,25012374,,36786.16304,
Kuwait,1960,261994,,,
Kyrgyzstan,1960,2172300,,,
Laos,1960,2119731,,,
Latvia,1960,2120979,,,
Lebanon,1960,1804927,,,
Lesotho,1960,851412,,168.0550181,
Liberia,1960,1120314,,618.4852852,
Libya,1960,1428435,,,
Lithuania,1960,2778550,,,
Luxembourg,1960,313970,,6704.84371,3304.034
"Macedonia, FYR",1960,1471139,,,
Madagascar,1960,5099371,,2424.400469,
Malawi,1960,3525127,,499.7691286,
Malaysia,1960,8160975,,8050.617387,
Maldives,1960,88960,,,
Mali,1960,5098942,,,
Malta,1960,326550,,,
Mauritania,1960,858316,,430.0184868,
Mauritius,1960,659351,,,
Mexico,1960,38676974,,128166.2706,
Moldova,1960,2544000,,,
Mongolia,1960,955508,,,
Montenegro,1960,479099,,,
Morocco,1960,12328534,,,
Mozambique,1960,7647284,,,
Myanmar,1960,21486424,,,
Namibia,1960,602545,,,
Nauru,1960,,,,
Nepal,1960,9544938,,1696.795926,
Netherlands,1960,11486631,,152734.3239,20971.548
New Zealand,1960,2371800,,,4107.036
Nicaragua,1960,1774574,,2229.504317,
Niger,1960,3337141,,1589.721887,
Nigeria,1960,45211614,,25282.08967,
Niue,1960,,,,
Norway,1960,3581239,,62069.68529,6826.468
Oman,1960,551737,,704.940592,
Pakistan,1960,45540594,,9990.157365,
Palau,1960,9638,,,
Panama,1960,1136090,,2080.117513,
Papua New Guinea,1960,1966957,,1074.726139,
Paraguay,1960,1907041,,1086.084132,
Peru,1960,9931518,,19843.96905,
Philippines,1960,26271731,,18285.55857,
Poland,1960,29637450,,,54176.536
Portugal,1960,8857716,,32929.513,2984.285
Qatar,1960,47316,,,
Romania,1960,18406905,,,
Russian Federation,1960,119897000,,,
Rwanda,1960,2933424,,635.637342,
Saint Kitts & Nevis,1960,51197,,,
Saint Lucia,1960,89901,,,
Saint Vincent & Grenadines,1960,80948,,122.7906544,
Samoa,1960,108645,,,
Sao Tome & Principe,1960,64255,,,
Saudi Arabia,1960,4072110,,,
Senegal,1960,3177737,,2770.998153,
Serbia,1960,,,,
Seychelles,1960,41700,,138.5008833,
Sierra Leone,1960,2160111,,712.6050637,
Singapore,1960,1646000,,4120.770429,
Slovakia,1960,4068095,,,
Slovenia,1960,1584720,,,
Solomon Islands,1960,117869,,,
South Africa,1960,17396000,,59058.1319,
Spain,1960,30455000,,187569.0407,16161.398
Sri Lanka,1960,9896000,,3332.160208,
Sudan,1960,7527450,,5324.922246,
Suriname,1960,290137,,,
Swaziland,1960,349233,,,
Sweden,1960,7484656,,111592.9764,20199.532
Switzerland,1960,5327827,,,7451.791
Syria,1960,4592777,,2586.032301,
Taiwan,1960,,,,
Tajikistan,1960,2064035,,,
Tanzania,1960,10074490,,,
Thailand,1960,27362310,,,
Togo,1960,1580513,,430.7346465,
Tonga,1960,61600,,,
Trinidad & Tobago,1960,848481,,3777.961786,
Tunisia,1960,4220701,,,
Turkey,1960,27553280,,64630.19464,10689.867
Turkmenistan,1960,1593501,,,
Uganda,1960,6788211,,,
Ukraine,1960,42662162,,,
United Arab Emirates,1960,89608,,,
United Kingdom,1960,52400000,,706295.6985,158917.658
United States of America,1960,180671000,,2794812.882,1019297.875
Uruguay,1960,2538779,,8001.734486,
Uzbekistan,1960,8558503,,,
Vanuatu,1960,63701,,,
Venezuela,1960,7580281,,45025.6887,
Vietnam,1960,34743000,,,
Yemen,1960,5099785,,,
Zambia,1960,3082627,,2907.169054,
Zimbabwe,1960,3752390,,1843.216289,
World,1960,3036702927,,9210466.503,
European Union (15),1960,317030684,,2518445.533,542467.023
European Union (28),1960,405195859,,2538783.574,596643.559
Afghanistan,1961,8953544,,,
Albania,1961,1668531,,,
Algeria,1961,11560650,,17202.83969,
Angola,1961,5056688,,,
Antigua & Barbuda,1961,55403,,,
Argentina,1961,20959241,,66706.95243,
Armenia,1961,1934239,,,
Australia,1961,10483000,,140842.3414,32662.796
Austria,1961,7086299,,80787.16017,11012.356
Azerbaijan,1961,4030130,,,
Bahamas,1961,115108,,1621.887573,
Bahrain,1961,167924,,,
Bangladesh,1961,50953503,,13294.65424,
Barbados,1961,231599,,1217.106413,
Belarus,1961,8271216,,,
Belgium,1961,9183948,,107333.8097,23607.632
Belize,1961,94701,,93.45581883,
Benin,1961,2466002,,985.3635038,
Bhutan,1961,229348,,,
Bolivia,1961,3428270,,2992.567693,
Bosnia & Herzegovina,1961,3358202,,,
Botswana,1961,536728,,211.6276913,
Brazil,1961,74988037,,138564.319,
Brunei,1961,85679,,,
Bulgaria,1961,7943118,,,
Burkina Faso,1961,4894578,,946.9022872,
Burundi,1961,2840375,,353.3536815,
Cambodia,1961,5869843,,,
Cameroon,1961,5474509,,3823.265456,
Canada,1961,18271000,,238914.6979,78708.193
Cape Verde,1961,217150,,,
Central African Republic,1961,1529229,,756.9554956,
Chad,1961,3061423,,1675.240393,
Chile,1961,7845746,,19731.35427,
China,1961,660330000,,60635.47888,
Colombia,1961,16488996,,24466.21071,
Comoros,1961,193754,,,
Congo,1961,1039958,,1050.966485,
"Congo, Dem. Republic",1961,15637715,,6035.115511,
Cook Islands,1961,,,,
Costa Rica,1961,1381532,,2434.335273,
Cote d'Ivoire,1961,3602075,,3460.099193,
Croatia,1961,4171672,,,
Cuba,1961,7289830,,,
Cyprus,1961,576395,,,
Czech Republic,1961,9586651,,,
Denmark,1961,4611687,,83922.21521,9330.865
Djibouti,1961,88499,,,
Dominica,1961,61035,,,
Dominican Republic,1961,3424702,,3510.98385,
Ecuador,1961,4644682,,7303.446182,
Egypt,1961,28785879,,9468.564168,
El Salvador,1961,2858859,,,
Equatorial Guinea,1961,255100,,,
Eritrea,1961,1438217,,,
Estonia,1961,1230050,,,
Ethiopia,1961,22671134,,,
Fiji,1961,407152,,716.5376267,
Finland,1961,4461005,,49161.94079,10049.657
France,1961,47293811,,548975.793,82444.241
Gabon,1961,503762,,1597.754147,
Gambia,1961,376736,,,
Georgia,1961,3703600,,,
Germany,1961,73377632,,,146338.52
Ghana,1961,6866780,,3313.826985,
Greece,1961,8398050,,49633.87561,2708.292
Grenada,1961,91260,,,
Guatemala,1961,4253298,,5055.920243,
Guinea,1961,3632778,,,
Guinea-Bissau,1961,642182,,,
Guyana,1961,575976,,451.3968202,
Haiti,1961,3946666,,,
Honduras,1961,2069085,,1658.945256,
Hungary,1961,10029321,,21293.92897,
Iceland,1961,179029,,2694.289682,522.175
India,1961,458626687,,106481.6166,
Indonesia,1961,90860197,,26917.5922,
Iran,1961,22535672,,,
Iraq,1961,7475354,,,
Ireland,1961,2824400,,,3944.179
Israel,1961,2185000,,13255.24543,
Italy,1961,50536350,,489388.5637,45011.729
Jamaica,1961,1651915,,,
Japan,1961,94943000,,733719.5409,91421.29
Jordan,1961,891451,,,
Kazakhstan,1961,10411040,,,
Kenya,1961,8361442,,2407.806994,
Kiribati,1961,33873,,,
Korea (North),1961,11665593,,,
Korea (South),1961,25765673,,38602.05383,
Kuwait,1961,294670,,,
Kyrgyzstan,1961,2255900,,,
Laos,1961,2169035,,,
Latvia,1961,2152681,,,
Lebanon,1961,1864605,,,
Lesotho,1961,866253,,171.188915,
Liberia,1961,1144896,,633.5762466,
Libya,1961,1478580,,,
Lithuania,1961,2823550,,,
Luxembourg,1961,316845,,6961.638092,3337.651
"Macedonia, FYR",1961,1491446,,,
Madagascar,1961,5223621,,2474.06753,
Malawi,1961,3607383,,537.9494802,
Malaysia,1961,8429369,,8662.3028,
Maldives,1961,91319,,,
Mali,1961,5151827,,,
Malta,1961,325250,,,
Mauritania,1961,883366,,496.7999846,
Mauritius,1961,680757,,,
Mexico,1961,39939271,,134574.5841,
Moldova,1961,2605000,,,
Mongolia,1961,982174,,,
Montenegro,1961,485319,,,
Morocco,1961,12687467,,,
Mozambique,1961,7800474,,,
Myanmar,1961,21961594,,,
Namibia,1961,617282,,,
Nauru,1961,,,,
Nepal,1961,9710150,,1729.175307,
Netherlands,1961,11638712,,153185.7251,21868.85
New Zealand,1961,2419700,,,4375.893
Nicaragua,1961,1830304,,2394.492361,
Niger,1961,3429301,,1661.996892,
Nigeria,1961,46144154,,25330.57958,
Niue,1961,,,,
Norway,1961,3609800,,65963.52489,6994.51
Oman,1961,564895,,712.9741401,
Pakistan,1961,46673627,,10588.30269,
Palau,1961,9901,,,
Panama,1961,1170499,,2303.758389,
Papua New Guinea,1961,2001048,,1141.156187,
Paraguay,1961,1958047,,1161.027038,
Peru,1961,10218174,,21302.51121,
Philippines,1961,27163317,,19312.58147,
Poland,1961,29964000,,,56754.89
Portugal,1961,8929316,,34752.12976,3266.702
Qatar,1961,51363,,,
Romania,1961,18555250,,,
Russian Federation,1961,121236000,,,
Rwanda,1961,2996091,,608.3206615,
Saint Kitts & Nevis,1961,51195,,,
Saint Lucia,1961,90913,,,
Saint Vincent & Grenadines,1961,82144,,128.3497507,
Samoa,1961,112121,,,
Sao Tome & Principe,1961,64549,,,
Saudi Arabia,1961,4202984,,,
Senegal,1961,3265730,,2853.946549,
Serbia,1961,,,,
Seychelles,1961,42889,,131.7388872,
Sierra Leone,1961,2189040,,725.4963996,
Singapore,1961,1702000,,4456.507535,
Slovakia,1961,4191667,,,
Slovenia,1961,1594131,,,
Solomon Islands,1961,121403,,,
South Africa,1961,17949962,,61329.15539,
Spain,1961,30739250,,209774.7283,17140.184
Sri Lanka,1961,10168000,,3472.98269,
Sudan,1961,7749884,,5326.114485,
Suriname,1961,298411,,,
Swaziland,1961,357522,,,
Sweden,1961,7519998,,117933.1731,20620.763
Switzerland,1961,5434294,,,7905.567
Syria,1961,4742596,,2866.178832,
Taiwan,1961,,,,
Tajikistan,1961,2140413,,,
Tanzania,1961,10373284,,,
Thailand,1961,28195264,,,
Togo,1961,1597528,,483.1521128,
Tonga,1961,63740,,,
Trinidad & Tobago,1961,865356,,4308.276963,
Tunisia,1961,4277371,,3564.586609,
Turkey,1961,28229291,,65377.36452,10849.817
Turkmenistan,1961,1649914,,,
Uganda,1961,7006629,,,
Ukraine,1961,43203646,,,
United Arab Emirates,1961,97727,,,
United Kingdom,1961,52800000,,724472.7125,158752.925
United States of America,1961,183691000,,2859093.578,1030883.581
Uruguay,1961,2571834,,8201.220763,
Uzbekistan,1961,8871244,,,
Vanuatu,1961,65708,,,
Venezuela,1961,7872644,,46463.14253,
Vietnam,1961,35428000,,,
Yemen,1961,5184477,,,
Zambia,1961,3173662,,2946.746728,
Zimbabwe,1961,3876638,,1959.636766,
World,1961,3077798474,,9603740.13,
European Union (15),1961,319717303,,2656283.465,559434.546
European Union (28),1961,408689367,,2677577.394,616189.436
Afghanistan,1962,9141783,,,
Albania,1962,1719181,,,
Algeria,1962,11844928,,13816.45351,
Angola,1962,5150076,,,
Antigua & Barbuda,1962,56311,,,
Argentina,1962,21295290,,66138.59486,
Armenia,1962,2002170,,,
Australia,1962,10742000,,142786.7469,34084.096
Austria,1962,7129864,,82926.94958,11948.751
Azerbaijan,1962,4167558,,,
Bahamas,1962,121083,,1791.406789,
Bahrain,1962,173107,,,
Bangladesh,1962,52403243,,14019.61585,
Barbados,1962,232514,,1327.385487,
Belarus,1962,8351928,,,
Belgium,1962,9220578,,112928.0516,25907.345
Belize,1962,97389,,98.02829296,
Benin,1962,2503232,,951.6009121,
Bhutan,1962,234758,,,
Bolivia,1962,3505427,,3159.260437,
Bosnia & Herzegovina,1962,3409319,,,
Botswana,1962,550152,,225.7362085,
Brazil,1962,77286629,,145791.9162,
Brunei,1962,89595,,,
Bulgaria,1962,8012946,,,
Burkina Faso,1962,4960325,,1004.936023,
Burundi,1962,2894510,,385.3786837,
Cambodia,1962,6024281,,,
Cameroon,1962,5593768,,3939.552332,
Canada,1962,18614000,,255917.7296,82861.34
Cape Verde,1962,222725,,,
Central African Republic,1962,1556656,,728.8448925,
Chad,1962,3122357,,1765.035223,
Chile,1962,8047690,,20756.0192,
China,1962,665770000,,56933.47754,
Colombia,1962,16986307,,25803.65619,
Comoros,1962,197073,,,
Congo,1962,1067589,,1105.641007,
"Congo, Dem. Republic",1962,16041247,,7314.602096,
Cook Islands,1962,,,,
Costa Rica,1962,1431088,,2632.692702,
Cote d'Ivoire,1962,3740503,,3502.554419,
Croatia,1962,4202104,,,
Cuba,1962,7450405,,,
Cyprus,1962,577691,,,
Czech Republic,1962,9624660,,,
Denmark,1962,4647727,,88677.93791,10672.527
Djibouti,1962,94200,,,
Dominica,1962,61984,,,
Dominican Republic,1962,3540319,,4109.509719,
Ecuador,1962,4779559,,7636.401803,
Egypt,1962,29590639,,10117.79161,
El Salvador,1962,2950666,,,
Equatorial Guinea,1962,257940,,,
Eritrea,1962,1472966,,,
Estonia,1962,1245700,,,
Ethiopia,1962,23221344,,,
Fiji,1962,421576,,742.3767035,
Finland,1962,4491443,,50627.92309,10607.638
France,1962,47990159,,585604.4166,89153.015
Gabon,1962,509348,,1716.774234,
Gambia,1962,383525,,,
Georgia,1962,3760300,,,
Germany,1962,74025784,,,157291.898
Ghana,1962,7085698,,3449.997351,
Greece,1962,8448233,,50395.02047,2957.737
Grenada,1962,92424,,,
Guatemala,1962,4369153,,5234.722936,
Guinea,1962,3689661,,,
Guinea-Bissau,1962,647572,,,
Guyana,1962,591665,,456.3844204,
Haiti,1962,4026076,,,
Honduras,1962,2139208,,1754.580899,
Hungary,1962,10061734,,22592.85863,
Iceland,1962,182378,,2918.285186,552.295
India,1962,467962144,,109602.7288,
Indonesia,1962,93101152,,27431.62675,
Iran,1962,23130085,,,
Iraq,1962,7674220,,,
Ireland,1962,2836050,,,4006.572
Israel,1962,2293000,,14601.46368,
Italy,1962,50879450,,519748.5195,51237.908
Jamaica,1962,1678467,,,
Japan,1962,95832000,,799086.4166,96191.586
Jordan,1962,943090,,,
Kazakhstan,1962,10819503,,,
Kenya,1962,8628973,,2635.521938,
Kiribati,1962,34800,,,
Korea (North),1962,11871721,,,
Korea (South),1962,26513030,,39551.03154,
Kuwait,1962,335186,,,
Kyrgyzstan,1962,2333400,,,
Laos,1962,2219669,,,
Latvia,1962,2181586,,,
Lebanon,1962,1925276,,,
Lesotho,1962,881910,,197.4352669,
Liberia,1962,1170267,,642.0953138,
Libya,1962,1532042,,,
Lithuania,1962,2863350,,,
Luxembourg,1962,320750,,7056.224314,3340.464
"Macedonia, FYR",1962,1512404,,,
Madagascar,1962,5352674,,2530.255329,
Malawi,1962,3693680,,541.544945,
Malaysia,1962,8710678,,9218.511848,
Maldives,1962,93806,,,
Mali,1962,5205248,,,
Malta,1962,323900,,,
Mauritania,1962,909310,,500.4097753,
Mauritius,1962,700349,,,
Mexico,1962,41234350,,140851.7008,
Moldova,1962,2664000,,,
Mongolia,1962,1011322,,,
Montenegro,1962,491111,,,
Morocco,1962,13039318,,,
Mozambique,1962,7959881,,,
Myanmar,1962,22446690,,,
Namibia,1962,632658,,,
Nauru,1962,,,,
Nepal,1962,9881783,,1762.208088,
Netherlands,1962,11805689,,163669.0014,24567.23
New Zealand,1962,2482000,,,4517.259
Nicaragua,1962,1886504,,2674.536599,
Niger,1962,3525797,,1832.828791,
Nigeria,1962,47117859,,26369.89138,
Niue,1962,,,,
Norway,1962,3638918,,67819.7023,7467.258
Oman,1962,578825,,856.9078756,
Pakistan,1962,47864343,,11062.96133,
Palau,1962,10150,,,
Panama,1962,1206117,,2496.463345,
Papua New Guinea,1962,2037164,,1213.894637,
Paraguay,1962,2010626,,1199.343932,
Peru,1962,10517047,,23079.1816,
Philippines,1962,28079991,,20234.39451,
Poland,1962,30308500,,,59914.878
Portugal,1962,8993985,,37050.79123,3266.292
Qatar,1962,56196,,,
Romania,1962,18676550,,,
Russian Federation,1962,122591000,,,
Rwanda,1962,3050596,,677.2664988,
Saint Kitts & Nevis,1962,50966,,,
Saint Lucia,1962,92086,,,
Saint Vincent & Grenadines,1962,83206,,133.0913396,
Samoa,1962,115786,,,
Sao Tome & Principe,1962,64429,,,
Saudi Arabia,1962,4345738,,,
Senegal,1962,3356581,,2850.058465,
Serbia,1962,,,,
Seychelles,1962,44042,,142.8162551,
Sierra Leone,1962,2219498,,758.4409522,
Singapore,1962,1750000,,4773.679364,
Slovakia,1962,4238188,,,
Slovenia,1962,1603649,,,
Solomon Islands,1962,125068,,,
South Africa,1962,18459442,,65117.62342,
Spain,1962,31023366,,230654.5261,18776.071
Sri Lanka,1962,10443000,,3605.581849,
Sudan,1962,7981797,,5694.460217,
Suriname,1962,306613,,,
Swaziland,1962,365719,,,
Sweden,1962,7561588,,122955.6792,21832.091
Switzerland,1962,5573815,,,8744.82
Syria,1962,4897428,,3569.003061,
Taiwan,1962,,,,
Tajikistan,1962,2223956,,,
Tanzania,1962,10683653,,,
Thailand,1962,29058659,,,
Togo,1962,1612758,,501.3845961,
Tonga,1962,66255,,,
Trinidad & Tobago,1962,880019,,4426.42988,
Tunisia,1962,4350811,,3736.075638,
Turkey,1962,28909985,,69019.81769,11853.724
Turkmenistan,1962,1708711,,,
Uganda,1962,7240155,,,
Ukraine,1962,43749474,,,
United Arab Emirates,1962,108774,,,
United Kingdom,1962,53250000,,734093.6607,164402.938
United States of America,1962,186538000,,3033498.287,1077184.78
Uruguay,1962,2604042,,8072.088534,
Uzbekistan,1962,9201176,,,
Vanuatu,1962,67806,,,
Venezuela,1962,8172322,,50427.81153,
Vietnam,1962,36123000,,,
Yemen,1962,5276093,,,
Zambia,1962,3269151,,2873.347992,
Zimbabwe,1962,4006261,,1987.747159,
World,1962,3130733636,,10137549.94,
European Union (15),1962,322624666,,2786388.702,599968.477
European Union (28),1962,412343120,,2808981.56,659883.355
Afghanistan,1963,9339507,,,
Albania,1963,1770530,,,
Algeria,1963,12136371,,18557.3939,
Angola,1963,5245015,,,
Antigua & Barbuda,1963,57368,,,
Argentina,1963,21630854,,62627.82806,
Armenia,1963,2070427,,,
Australia,1963,10950000,,151748.7314,35960.358
Austria,1963,7175811,,86358.68865,13088.645
Azerbaijan,1963,4307315,,,
Bahamas,1963,127331,,1979.935483,
Bahrain,1963,178048,,,
Bangladesh,1963,53909233,,13955.70123,
Barbados,1963,233520,,1259.975263,
Belarus,1963,8437232,,,
Belgium,1963,9289770,,117842.2109,28270.82
Belize,1963,100166,,102.88699,
Benin,1963,2543335,,996.6119011,
Bhutan,1963,240424,,,
Bolivia,1963,3584782,,3362.107111,
Bosnia & Herzegovina,1963,3458189,,,
Botswana,1963,564484,,239.1021582,
Brazil,1963,79643017,,147067.1181,
Brunei,1963,93641,,,
Bulgaria,1963,8078145,,,
Burkina Faso,1963,5027818,,992.1932698,
Burundi,1963,2950903,,401.3156623,
Cambodia,1963,6178752,,,
Cameroon,1963,5719135,,4086.992061,
Canada,1963,18964000,,269178.8133,89019.293
Cape Verde,1963,228818,,,
Central African Republic,1963,1585765,,723.6901817,
Chad,1963,3184775,,1736.804296,
Chile,1963,8251999,,22025.57457,
China,1963,682335000,,62821.54492,
Colombia,1963,17497712,,26553.02395,
Comoros,1963,200505,,,
Congo,1963,1096468,,1061.09141,
"Congo, Dem. Republic",1963,16461914,,7695.984727,
Cook Islands,1963,,,,
Costa Rica,1963,1481890,,2758.659454,
Cote d'Ivoire,1963,3889859,,4010.087019,
Croatia,1963,4231408,,,
Cuba,1963,7618358,,,
Cyprus,1963,577912,,,
Czech Republic,1963,9670685,,,
Denmark,1963,4684483,,89242.8352,11724.922
Djibouti,1963,100622,,,
Dominica,1963,62920,,,
Dominican Republic,1963,3658264,,4376.747144,
Ecuador,1963,4919224,,7932.362635,
Egypt,1963,30409962,,11034.01153,
El Salvador,1963,3046771,,,
Equatorial Guinea,1963,260990,,,
Eritrea,1963,1508999,,,
Estonia,1963,1261350,,,
Ethiopia,1963,23798397,,,
Fiji,1963,436208,,789.5827498,
Finland,1963,4523309,,52291.1008,11212.885
France,1963,48697015,,616917.7024,96361.94
Gabon,1963,515762,,1821.367593,
Gambia,1963,389070,,,
Georgia,1963,3816100,,,
Germany,1963,74714353,,,170444.92
Ghana,1963,7303664,,3602.00335,
Greece,1963,8479625,,55503.0876,3118.903
Grenada,1963,93354,,,
Guatemala,1963,4488229,,5734.170147,
Guinea,1963,3748272,,,
Guinea-Bissau,1963,652180,,,
Guyana,1963,607528,,400.3465414,
Haiti,1963,4107392,,,
Honduras,1963,2211144,,1817.402555,
Hungary,1963,10087947,,23880.65158,
Iceland,1963,185653,,3218.383625,608.868
India,1963,477615992,,116172.7036,
Indonesia,1963,95420835,,26813.58217,
Iran,1963,23742324,,,
Iraq,1963,7888914,,,
Ireland,1963,2852650,,,4147.645
Israel,1963,2379000,,16163.19433,
Italy,1963,51252000,,548904.9977,57388.378
Jamaica,1963,1707019,,,
Japan,1963,96812000,,866798.1419,110025.373
Jordan,1963,999392,,,
Kazakhstan,1963,11211938,,,
Kenya,1963,8908425,,2866.877021,
Kiribati,1963,35766,,,
Korea (North),1963,12065471,,,
Korea (South),1963,27261747,,43320.92553,
Kuwait,1963,381688,,,
Kyrgyzstan,1963,2413700,,,
Laos,1963,2271735,,,
Latvia,1963,2210919,,,
Lebanon,1963,1984982,,,
Lesotho,1963,898342,,218.3931751,
Liberia,1963,1196588,,656.6994967,
Libya,1963,1588755,,,
Lithuania,1963,2898950,,,
Luxembourg,1963,324100,,7298.895527,3391.97
"Macedonia, FYR",1963,1533999,,,
Madagascar,1963,5486593,,2506.739094,
Malawi,1963,3783766,,534.0116299,
Malaysia,1963,8999247,,9895.0403,
Maldives,1963,96358,,,
Mali,1963,5259686,,,
Malta,1963,322550,,,
Mauritania,1963,936144,,490.4828082,
Mauritius,1963,718861,,,
Mexico,1963,42564038,,152270.3889,
Moldova,1963,2721000,,,
Mongolia,1963,1042377,,,
Montenegro,1963,496566,,,
Morocco,1963,13387425,,,
Mozambique,1963,8125367,,,
Myanmar,1963,22947286,,,
Namibia,1963,648668,,,
Nauru,1963,,,,
Nepal,1963,10060686,,1795.603899,
Netherlands,1963,11965966,,169601.3832,27143.913
New Zealand,1963,2531800,,,4980.187
Nicaragua,1963,1943602,,2940.470538,
Niger,1963,3626224,,2005.632093,
Nigeria,1963,48128461,,28632.06388,
Niue,1963,,,,
Norway,1963,3666537,,70386.70725,8004.025
Oman,1963,593504,,895.7364586,
Pakistan,1963,49109360,,12024.20341,
Palau,1963,10381,,,
Panama,1963,1242856,,2706.730892,
Papua New Guinea,1963,2075629,,1263.33071,
Paraguay,1963,2064802,,1255.836525,
Peru,1963,10826459,,23937.85326,
Philippines,1963,29015642,,21663.0414,
Poland,1963,30712000,,,60939.496
Portugal,1963,9030355,,39227.04434,3566.439
Qatar,1963,61657,,,
Romania,1963,18797850,,,
Russian Federation,1963,123960000,,,
Rwanda,1963,3102968,,610.7559187,
Saint Kitts & Nevis,1963,50533,,,
Saint Lucia,1963,93397,,,
Saint Vincent & Grenadines,1963,84167,,124.7526902,
Samoa,1963,119564,,,
Sao Tome & Principe,1963,64181,,,
Saudi Arabia,1963,4498390,,,
Senegal,1963,3450567,,2903.197194,
Serbia,1963,,,,
Seychelles,1963,45176,,157.2915501,
Sierra Leone,1963,2251563,,771.3322881,
Singapore,1963,1795000,,5249.166741,
Slovakia,1963,4282017,,,
Slovenia,1963,1616971,,,
Solomon Islands,1963,128863,,,
South Africa,1963,18936138,,69919.11303,
Spain,1963,31296651,,252789.2851,19514.031
Sri Lanka,1963,10582000,,3696.325279,
Sudan,1963,8223613,,5532.340461,
Suriname,1963,314883,,,
Swaziland,1963,373991,,,
Sweden,1963,7604328,,129506.6321,23424.479
Switzerland,1963,5694247,,,10645.893
Syria,1963,5057825,,3260.186269,
Taiwan,1963,,,,
Tajikistan,1963,2312193,,,
Tanzania,1963,11005491,,,
Thailand,1963,29951191,,,
Togo,1963,1631763,,526.4522931,
Tonga,1963,69000,,,
Trinidad & Tobago,1963,892571,,4674.513438,
Tunisia,1963,4436643,,4185.328588,
Turkey,1963,29597047,,75277.36544,12449.336
Turkmenistan,1963,1769008,,,
Uganda,1963,7487412,,,
Ukraine,1963,44285898,,,
United Arab Emirates,1963,121574,,,
United Kingdom,1963,53650000,,763136.1763,171509.993
United States of America,1963,189242000,,3166972.211,1132953.042
Uruguay,1963,2635294,,8085.848123,
Uzbekistan,1963,9542785,,,
Vanuatu,1963,69962,,,
Venezuela,1963,8477485,,52394.97599,
Vietnam,1963,36836000,,,
Yemen,1963,5372934,,,
