Company,Sector,2011 Response status,2010 Response status,Carbon disclosure score,Carbon performance band,Non-Public,Total Emissions1,Scope 1,Scope 2,Scope 3,Scope 3 source type,,,,
BASF ,Materials ,AQ ,AQ ,93,A ,,25701000,21312000,4389000,134289000,PGS Eq Fu TI Wa Tr EC Lu In TSP USP DSP ,,,,
Baxter International ,Health Care ,AQ ,AQ ,74,C ,,801000,339720,461280,2144000,Tr EC TSP USP DSP SE ,,,,
Bayer ,Health Care ,AQ ,AQ ,99,A ,,8500000,4800000,3700000,27009800,PGS TI Tr Lu DSP Oth ,,,,
BB&T ,Financials ,AQ ,AQ ,58,E ,,172066,1643,170423,-,,,,,
BBVA ,Financials ,AQ ,AQ ,74,B ,,329870,8494,321376,35232,Tr ,,,,
BCE ,,AQ ,AQ ,74,C ,,234529,93132,141397,4348,Tr,,,,
Becton Dickinson and Co. ,Health Care ,AQ ,AQ ,43,-,,530124,61975,468149,-,,,,,
Belle International ,Consumer Discretionary ,NR ,NR ,-,-,,-,-,-,-,,,,,
Berkshire Hathaway ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Best Buy ,Consumer Discretionary ,AQ ,AQ ,70,B ,,940696,236170,704526,-,,,,,
BG Group ,Energy ,AQ ,AQ ,85,A ,,7974747,7951198,23549,88692000,USP ,,,,
Bharat Heavy Electricals ,Industrials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Bharti Airtel ,,NR ,NR ,-,-,,-,-,-,-,,,,,
BHP Billiton ,Materials ,AQ ,AQ ,73,B ,,45731137,19591969,26139168,325311000,Fu USP ,,,,
BM&F Bovespa ,Financials ,AQ ,AQ ,81,C ,,1179.67,155.57,1024.1,1746.81,TI Wa Tr EC ,,,,
BMW Bayerische Motoren werke ,Consumer Discretionary ,AQ ,AQ ,96,A ,,1343008,409911,933097,38186203,TI Tr EC USP ,,,,
BNP Paribas ,Financials ,AQ ,AQ ,78,C ,,535513,86808,448705,166392,Tr,,,,
BNY Mellon ,Financials ,AQ ,AQ ,81,B ,,211570,9474,202096,26827,Tr,,,,
BOC Hong Kong ,Financials ,DP ,NR ,-,-,,-,-,-,-,,,,,
Boeing ,Industrials ,AQ ,AQ ,92,B ,,1717000,595000,1122000,255000,Tr ,,,,
BP ,Energy ,AQ ,AQ ,80,B ,,74920000,64920000,10000000,573000000,USP ,,,,
Bristol-Myers Squibb ,Health Care ,AQ ,AQ ,76,D ,,524189,253398,270791,73480,Tr,,,,
British American Tobacco ,Consumer Staples ,AQ ,AQ ,91,A ,,743599,371610,371989,58518,Wa Tr Oth ,,,,
British Sky Broadcasting ,Consumer Discretionary ,AQ ,AQ ,90,B ,,152580,27462,125118,-,Oth ,,,,
BT Group ,,AQ ,AQ ,84,B ,,1674583,204497,1470086,48434,Wa Tr Oth,,,,
BYD Company ,Consumer Discretionary ,NR ,NR ,-,-,,-,-,-,-,,,,,
Canadian Imperial Bank of Commerce (CIBC) ,Financials ,AQ ,AQ ,69,C ,,93225,31287,61938,10398,Tr,,,,
Canadian National Railway ,Industrials ,AQ ,AQ ,82,B ,,4778872,4584604,194268,3198,Tr,,,,
Canadian Natural Resources ,Energy ,AQ ,AQ ,36,-,,18210358,16892972,1317386,-,,,,,
Canon ,Information Technology ,AQ ,AQ ,80,C ,NP ,,-,-,-,-,,,,
Capital One Financial ,Financials ,AQ ,AQ ,51,D ,,219615,14896,204719,-,,,,,
Carnival ,Consumer Discretionary ,AQ ,AQ ,88,B ,,10748637,10700267,48370,46246,PGS Wa Tr ,,,,
Carrefour ,Consumer Staples ,AQ ,AQ ,75,B ,,4306000,2155000,2151000,990000,PGS TI,,,,
Caterpillar ,Industrials ,AQ ,AQ ,58,D ,,2651000,831000,1820000,19443,Tr Lu,,,,
Celgene ,Health Care ,AQ ,AQ ,62,E ,,15547,5903,9644,-,,,,,
Cenovus Energy ,Energy ,AQ ,AQ ,78,C ,,4946354,3996987,949367,565.3,Tr Oth ,,,,
Centrica ,Utilities ,AQ ,AQ ,96,A-,,10714959,10559082,155877,8992,Tr Oth ,,,,
CEZ ,Utilities ,AQ ,AQ ,39,-,,38845671,38845671,-,-,,,,,
Charles Schwab ,Financials ,AQ ,AQ ,,-,NP ,-,-,-,-,-,,,,
Cheung Kong ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Chevron ,Energy ,AQ ,AQ ,86,B ,,66619864,62136044,4483820,404000000,USP ,,,,
China Construction Bank (H) ,Financials ,IN ,IN ,-,-,,-,-,-,-,,,,,
China Life Insurance (H) ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
China Mobile ,,NR ,AQ ,-,-,,-,-,-,-,,,,,
China Overseas Land & Investment ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
China Telecom ,,IN ,IN ,-,-,,-,-,-,-,,,,,
China Unicom ,,NR ,NR ,-,-,,-,-,-,-,,,,,
Christian Dior ,Consumer Discretionary ,AQ ,NR ,39,-,NP ,-,-,-,-,-,,,,
Chubb ,Financials ,AQ ,AQ ,42,-,,14216,-,14216,-,,,,,
Chubu Electric Power ,Utilities ,DP ,AQ ,-,-,,-,-,-,-,,,,,
Chunghwa Telecom ,Information Technology ,AQ ,AQ ,74,C ,,905137.79,30753.37,874384.42,256499,EC,,,,
Cia. Siderurgica Nacional - CSN ,Materials ,AQ ,AQ ,61,E ,,11192361,10621377,570984,474485,PGS Fu,,,,
CIMB Group Holdings ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Cisco Systems ,Information Technology ,AQ ,AQ ,98,A ,,650620,53363,597257,6837461,PGS Eq Fu TI Tr EC TSP USP DSP ,,,,
Citigroup ,Financials ,AQ ,AQ ,70,B ,,1184848.77,43116.32,1141732.45,100243,Tr,,,,
CLP Holdings ,Utilities ,AQ ,AQ ,82,B ,,41897000,41649000,248000,175000,Lu ,,,,
CME Group ,Financials ,AQ ,AQ ,7,-,NP,-,-,-,-,-,,,,
CNOOC (Red Chip) ,Energy ,AQ ,AQ ,32,-,,5860000,5860000,-,-,,,,,
Coca-Cola Company ,Consumer Staples ,AQ ,AQ ,78,C ,,3359909,2113413,1246496,6342126,Tr TSP Fr Oth,,,,
Cognizant Technology Solutions ,Information Technology ,AQ ,AQ ,68,C ,,175935,28647,147288,46270,Tr,,,,
Colgate Palmolive ,Consumer Staples ,AQ ,AQ ,80,B ,,692284,267077,425207,105969,PGS TI Wa Tr Lu,,,,
Comcast ,Consumer Discretionary ,DP ,IN ,-,-,,-,-,-,-,,,,,
Commonwealth Bank of Australia ,Financials ,AQ ,AQ ,89,A ,,251696,15073,236623,120295,TI Wa Tr SE ,,,,
Compagnie Financière Richemont ,Consumer Discretionary ,AQ ,AQ ,83,C ,NP ,-,-,-,-,-,,,,
ConocoPhillips ,Energy ,AQ ,AQ ,41,-,,68005000,57981000,10024000,512000000,USP,,,,
Corning ,Information Technology ,AQ ,AQ ,34,-,,1175452,266635,908817,-,,,,,
