Company,Sector,2011 Response status,2010 Response status,Carbon disclosure score,Carbon performance band,Non-Public,Total Emissions1,Scope 1,Scope 2,Scope 3,Scope 3 source type,,,,
Kinross Gold ,Materials ,AQ ,AQ ,73,D ,,1125494,570404,555090,-,Oth,,,,
Kohl’s ,Consumer Discretionary ,AQ ,AQ ,78,C ,,859581,27062,832519,226902,TI Tr ,,,,
Komatsu ,Industrials ,AQ ,AQ ,74,C ,,561300,167900,393400,4069600,TSP USP SE ,,,,
Koninklijke KPN NV ,,AQ ,AQ ,79,B ,,263500,70500,193000,1841.6,Tr Oth,,,,
Korea Electric Power (Kepco) ,Utilities ,NR ,DP ,-,-,,-,-,-,-,,,,,
Kraft Foods ,Consumer Staples ,AQ ,AQ(SA) ,86,C ,,3319396,1468901,1850495,37225790,PGS Fu TI Tr EC TSP USP DSP,,,,
Kumba Iron Ore ,Materials ,AQ ,AQ ,82,B ,,837473,329906,507567,28129380.2,PGS TI Tr EC USP ,,,,
Kyocera ,Information Technology ,AQ ,AQ ,65,C ,NP ,-,-,-,-,-,,,,
Lafarge ,Materials ,AQ ,AQ ,96,A-,,104663099,96336401,8326698,6574249,PGS TI Tr TSP ,,,,
Larsen & Toubro ,Industrials ,AQ ,AQ ,69,C ,,394320,288045,106275,17466,EC ,,,,
Las Vegas Sands ,Consumer Discretionary ,NR ,NR ,-,-,,-,-,-,-,,,,,
LG Chemical ,Materials ,AQ ,AQ ,78,B ,,5784113,4200586,1583527,-,,,,,
Li & Fung ,Consumer Discretionary ,AQ(L) ,AQ ,46,-,NP ,-,-,-,-,-,,,,
Linde ,Materials ,AQ ,AQ ,63,C ,,15350000,5830000,9520000,354701,TI Tr ,,,,
Lloyds Banking Group ,Financials ,AQ ,AQ ,85,B ,,406497,73182,333315,36038,Tr,,,,
Lockheed Martin ,Industrials ,AQ ,AQ ,90,A ,,1374988,313866,1061122,212431,Tr ,,,,
L’Oreal ,Consumer Staples ,AQ ,AQ ,57,C ,,195016,79938,115078,5640000,TI TSP USP DSP,,,,
Lowe’s ,Consumer Discretionary ,AQ ,AQ ,36,-,NP ,-,-,-,-,-,,,,
Lukoil ,Energy ,NR ,AQ ,-,-,,-,-,-,-,,,,,
LVMH ,Consumer Discretionary ,AQ ,AQ ,64,C ,,304782,43100,261682,551235,PGS Wa Tr TSP Oth ,,,,
Malayan Banking ,Financials ,AQ ,AQ ,37,-,NP ,-,-,-,-,-,,,,
Manulife Financial ,Financials ,AQ ,AQ ,47,-,NP ,-,--,-,, ,,,,
Marathon Oil ,Energy ,AQ ,AQ ,47,-,,18809000,13885000,4924000,-,,,,,
MasterCard ,Information Technology ,AQ ,AQ ,29,-,NP,-,-,-,-,-,,,,
McDonald’s ,Consumer Discretionary ,AQ ,AQ ,32,-,NP,-,-,-,-,-,,,,
Medco Health Solutions ,Health Care ,AQ ,AQ ,55,E ,,87211,5914,81297,-,,,,,
Medtronic ,Health Care ,AQ ,AQ ,43,-,,236697,25040,211657,-,,,,,
Merck & Co. ,Health Care ,AQ ,AQ ,79,B ,,2075661,1046881,1028780,300299,TI Tr USP ,,,,
MetLife ,Financials ,AQ ,AQ ,33,-,,-,-,-,927,Wa,,,,
Metro ,Consumer Discretionary ,AQ ,AQ ,90,B ,,3374778,759094,2615684,517583,Fu Tr TSP Oth,,,,
Microsoft ,Information Technology ,AQ ,AQ ,81,B ,,1191654,47383,1144271,389017,TI Tr SE ,,,,
Mitsubishi ,Industrials ,AQ ,AQ ,73,C ,,5116416,3205957,1910459,67100,TI ,,,,
Mitsubishi Electric ,Information Technology ,AQ ,AQ ,56,E ,,1200000,358000,842000,351000,TSP,,,,
Mitsubishi Estate ,Financials ,AQ ,AQ ,24,-,NP,-,-,-,-,-,,,, 
Mitsubishi UFJ Financial Group ,Financials ,AQ ,AQ ,74,C ,,254862,18317,236545,15875,Tr,,,,
Mitsui & Co ,Industrials ,AQ ,AQ ,59,D ,NP,-,-,-,-,-,,,,
Mizuho Financial Group ,Financials ,AQ ,AQ ,85,C ,,198809.57,17360.56,181449.01,8852.74,TI Tr ,,,,
MMC Norilsk Nickel ,Materials ,DP ,DP ,-,-,,-,-,-,-,,,,,
Mobile TeleSystems OJSC ,,NR ,DP ,-,-,,-,-,-,-,,,,,
Monsanto ,Materials ,AQ ,AQ ,38,-,,1815700,1153800,661900,-,,,,,
Morgan Stanley ,Financials ,AQ ,AQ ,87,A ,,359073,14322,344751,63103,Fu Tr ,,,,
Mosaic Company ,Materials ,AQ ,AQ ,78,B ,,4169555,2579616,1589939,7800000,PGS,,,,
Motorola3 ,Information Technology ,AQ ,IN ,60,E ,,279233.85,15793.85,263440,125438,Tr,,,,
MTN Group ,,AQ ,AQ ,75,D ,,1122962,744074,378888,4739,Tr,,,,
MTR ,Industrials ,AQ ,AQ ,71,C ,,1150976,37808,1113168,-,Oth,,,,
Munich Re ,Financials ,AQ ,AQ ,79,A-,,216588,69621,146967,28914,Wa Tr Oth,,,,
Nan Ya Plastics ,Materials ,NR ,AQ ,-,-,,-,-,-,-,,,,,
Naspers ,Consumer Discretionary ,AQ ,AQ ,27,-,NP,-,-,-,-,,,,,
National Australia Bank ,Financials ,AQ ,AQ ,91,A ,,208563,22084,186479,112276.2,PGS Fu Wa Tr SE ,,,,
National Grid ,Utilities ,AQ ,AQ ,63,D ,,9658188,9328836,329352,32370591,PGS USP Oth,,,,
National Oilwell Varco ,Energy ,NR ,NR ,-,-,,-,-,-,-,,,,,
National Thermal Power (NTPC) ,Utilities ,NR ,NR ,-,-,,-,-,-,-,,,,,
NATIXIS ,Financials ,AQ ,AQ ,61,E ,,15461,499,14962,7986,PGS Tr,,,,
Nestle ,Consumer Staples ,AQ ,AQ ,91,A-,,7125398,3981400,3143998,2643850,TSP Oth ,,,,
NetApp ,Information Technology ,AQ ,AQ ,59,E ,,96320,8082,88238,-,,,,,
Newcrest Mining ,Materials ,AQ ,AQ ,59,E ,,2228979,1430611,798368,15204,Tr,,,,
Newmont Mining ,Materials ,AQ ,AQ ,88,C ,,4694161,3048246,1645915,538893,Fu,,,,
News Corporation ,Consumer Discretionary ,AQ ,AQ ,93,A-,,538264,81791,456473,40067,Tr ,,,,
NextEra Energy ,Utilities ,DP ,AQ ,-,-,,-,-,-,-,,,,,
NIKE ,Consumer Discretionary ,AQ ,AQ ,40,-,,71900,6900,65000,1405800,TI Tr SE,,,,
Nintendo ,Information Technology ,DP ,AQ ,-,-,,-,-,-,-,,,,,
Nippon Steel ,Materials ,AQ ,AQ ,84,C ,NP,-,-,-,-,-,,,,
Nippon Telegraph & Telephone (NTT) ,,AQ ,AQ ,49,-,,4015000,224000,3791000,-,,,,,
Nissan Motor ,Consumer Discretionary ,AQ ,AQ ,72,C ,,2867158,972804,1894354,91586000,TSP USP,,,,
NLMK ,Materials ,NR ,NR ,-,-,,-,-,-,-,,,,,
NMDC ,Materials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Nokia Group ,Information Technology ,AQ ,AQ ,84,A-,,306500,20100,286400,8501500,Tr EC USP SE ,,,,
Nomura Holdings ,Financials ,AQ ,AQ ,66,E ,,90105,3650,86455,12068,Tr,,,,
Nordea Bank ,Financials ,AQ ,AQ ,87,B ,,56206,236,55970,20675,Tr ,,,,
Norfolk Southern ,Industrials ,AQ ,AQ ,76,B ,,5238171,4958921,279250,-,,,,,
Northrop Grumman ,Industrials ,AQ ,AQ ,80,C ,,1261649.69,323050,938599.69,1220151.74,Tr EC TSP,,,,
Novartis ,Health Care ,AQ ,AQ ,94,A ,,1513597,587269,926328,1353000,PGS Wa Tr ,,,,
Novatek ,Energy ,AQ ,AQ ,33,-,,2225791,2113024,112767,-,,,,,
Novo Nordisk ,Health Care ,AQ ,AQ ,89,B ,,179462,47562,131900,272700,TI Wa Tr EC TSP Ld Oth ,,,,
NTT DOCOMO ,,AQ ,AQ ,54,D ,,1210408,87161,1123247,-,,,,,
Occidental Petroleum ,Energy ,AQ ,AQ ,57,C ,,17800000,11200000,6600000,-,,,,,
OGX Petróleo e Gás Participações ,Energy ,DP ,DP ,-,-,,-,-,-,-,,,,,
Oil & Natural Gas ,Energy ,AQ ,AQ ,34,-,,9050000,8360000,690000,-,,,,,
Oracle ,Information Technology ,AQ ,AQ ,54,E ,,448731,15208,433523,-,,,,,
Oversea-Chinese Banking ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
PACCAR ,Industrials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Panasonic ,Consumer Discretionary ,AQ ,AQ ,93,B ,,4135797,847855,3287942,91000000,PGS,,,,
PepsiCo ,Consumer Staples ,AQ ,AQ ,90,A-,,6048225,4006160,2042065,112000,Fr Oth ,,,,
Pernod-Ricard ,Consumer Staples ,AQ ,AQ ,66,C ,,358676,260918,97758,-,Oth,,,,
PETROBRAS ,Energy ,AQ ,AQ ,81,C ,,61213363,59957141,1256221.84,504059819,USP,,,,
PETROCHINA ,Energy ,IN ,IN ,-,-,,-,-,-,-,,,,,
Pfizer ,Health Care ,AQ ,AQ ,81,B ,,2707928,1459943,1247985,9781207,PGS Eq Fu TI Wa Tr EC Lu SE ,,,,
PG&E ,Utilities ,AQ ,AQ ,92,B ,,4216239,3218256,997983,48753850,Fu Wa Tr USP ,,,,
Philip Morris International ,Consumer Staples ,AQ ,AQ ,83,B ,,768773,355789,412984,627767,TI Tr ,,,,
Philips Electronics ,Consumer Discretionary ,AQ ,AQ ,99,A ,,896987,426771,470216,911092,TI Tr ,,,,
Ping An of China ,Financials ,NR ,AQ ,-,-,,-,-,-,-,,,,,
PKO Bank Polski ,Financials ,DP ,DP ,-,-,,-,-,-,-,,,,,
PNC Financial Services ,Financials ,AQ ,AQ ,75,B ,,369651,44700,324951,107453,PGS Fu Tr EC,,,,
POSCO ,Materials ,AQ ,AQ ,89,A-,,71679000,68705000,2974000,997720,TI Tr EC ,,,,
Potash Corporation of Saskatchewan ,Materials ,AQ ,AQ ,63,D ,,10314700,8714700,1600000,-,,,,,
Power Financial ,Financials ,DP ,DP ,-,-,,-,-,-,-,,,,,
PPR ,Consumer Discretionary ,AQ ,NR ,64,C ,,197792,42612,155180,231826,TI Tr ,,,,
Praxair ,Materials ,AQ ,AQ ,93,A-,,15050000,4350000,10700000,582025,Eq TI Wa Tr ,,,,
Precision Castparts Corp. ,Industrials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Priceline.com ,Consumer Discretionary ,AQ ,NR ,12,-,,-,-,-,-,,,,,
Procter & Gamble ,Consumer Staples ,AQ ,AQ ,49,-,,5904000,2795000,3109000,-,,,,,
Prudential ,Financials ,AQ ,AQ ,58,E ,,108099,14839,93260,5029,Tr,,,,
Prudential Financial ,Financials ,AQ ,AQ ,41,-,,84370,5836,78534,12422,Tr,,,,
PTT ,Materials ,NR ,NR ,-,-,,-,-,-,-,,,,,
PTT Exploration & Production ,Energy ,AQ ,AQ ,69,D ,,3732909.9,3731455.09,1454.81,4790.21,TI,,,,
Public Service Enterprise Group ,Utilities ,AQ ,AQ ,79,C ,,24123436,22873019,1250417,66428619,PGS Fi TI Tr EC Lu USP,,,,
Public Storage ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
QBE Insurance Group ,Financials ,AQ ,AQ ,47,-,,37411,1268,36143,14034,Tr,,,,
Qualcomm ,Information Technology ,AQ ,AQ ,63,C ,,97537,57713,39824,-,,,,,
Raytheon ,Industrials ,AQ ,AQ ,71,C ,,602876,98909,503967,-,,,,,
Reckitt Benckiser ,Consumer Staples ,AQ ,AQ ,81,B ,,290587,104813,185774,25928065,PGS TI Wa Tr TSP USP DSP Ld Oth,,,,
Reliance Industries ,Industrials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Repsol YPF ,Energy ,AQ ,AQ ,89,B ,,25438767,23380302,2058465,150295524,Fu TI Tr TSP USP ,,,,
Research In Motion ,,AQ ,AQ ,47,-,,63868,13688,50180,-,Oth,,,,
Reynolds American ,Consumer Staples ,AQ ,AQ ,56,D ,,309614,117383,192231,-,,,,,
Rio Tinto ,Materials ,AQ ,AQ ,86,B ,,44600000,27600000,17000000,492000000,PGS Fu TI USP ,,,,
Roche Holding ,Health Care ,AQ ,NR ,66,C ,,865995,454010,411985,171261,Tr ,,,,
Rogers Communications ,Consumer Discretionary ,AQ ,AQ ,60,D ,,172149,38861,133288,61384,Wa Tr EC Oth,,,,
Rolls-Royce ,Industrials ,AQ ,AQ ,75,B ,,592123,232009,360114,175056020,TI Tr USP,,,,
Rosneft ,Energy ,NR ,DP ,-,-,,-,-,-,-,,,,,
Royal Bank of Canada ,Financials ,AQ ,AQ ,71,D ,,202476,33136,169340,145705,TI Tr,,,,
Royal Bank of Scotland Group ,Financials ,AQ ,AQ ,91,B ,,708324.75,84290.7,624034.05,143404,Fu Tr ,,,,
Royal Dutch Shell ,Energy ,AQ ,AQ ,90,A-,,85000000,75000000,10000000,690000,Fr Oth ,,,,
RWE ,Utilities ,AQ ,AQ ,85,B ,,170200000,167100000,3100000,137.98,Fu TI USP ,,,,
S.A.C.I. Falabella ,Consumer Discretionary ,NR ,NR ,-,-,,-,-,-,-,,,,,
SABMiller ,Consumer Staples ,AQ ,AQ ,63,C ,,2353867.55,1144900.89,1208966.66,261307,TI,,,,
Saint-Gobain ,Industrials ,AQ ,AQ ,94,A-,,18700000,13800000,4900000,132200,Tr ,,,,
Saipem ,Energy ,AQ ,AQ ,45,-,NP,-,-,-,-,-,,,,
Samsung Electronics ,Information Technology ,AQ ,AQ ,94,A ,,9910000,4034000,5876000,45706000,TI Tr USP SE ,,,,
Samsung Life Insurance ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Sandvik AB ,Industrials ,AQ ,AQ ,54,E ,NP,-,-,-,-,-,,,,
Sanofi-Aventis ,Health Care ,AQ ,AQ ,58,D ,,1040566,469311,571255,-,,,,,
SAP ,Information Technology ,AQ ,AQ ,96,A ,,261033,136003,125030,35796,EC TSP Oth ,,,,
Sasol ,Energy ,AQ ,AQ ,79,C ,,74981000,64166000,10815000,576937,TI Tr ,,,,
Sberbank ,Financials ,NR ,DP ,-,-,,-,-,-,-,,,,,
Schlumberger ,Energy ,AQ ,AQ ,80,B ,,1940000,1610000,330000,1563500,PGS TI Tr Oth,,,,
Schneider Electric ,Industrials ,AQ ,AQ ,91,A ,,472300,137500,334800,577352,PGS TI Tr ,,,,
Seven & I Holding ,Consumer Staples ,AQ ,AQ ,71,C ,,2615712.94,17033.98,2598678.96,213898,TI Wa,,,,
Shin Etsu Chemical ,Materials ,AQ ,AQ ,24,-,,-,-,-,-,,,,,
Shinhan Financial Group ,Financials ,AQ ,AQ ,73,C ,,38237,4298,33939,-,Oth,,,,
Siemens ,Industrials ,AQ ,AQ ,97,A-,,3228718,1387420,1841298,14203460,PGS TI Tr ,,,,
Sime Darby Berhad ,Industrials ,DP ,NR ,-,-,,-,-,-,-,,,,,
Simon Property Group ,Financials ,AQ ,AQ ,96,A-,,606269,23432,582837,11522,Tr EC ,,,,
Singapore Telecom ,,AQ ,NR ,55,E ,NP,-,-,-,-,-,,,,
Snam Rete Gas ,Utilities ,AQ ,AQ ,51,D ,,2690900,2636000,54900,-,,,,,
Societe Generale ,Financials ,AQ ,AQ ,66,D ,,201558,28115,173443,76177,PGS Tr,,,,
SoftBank ,,DP ,AQ ,-,-,,-,-,-,-,,,,,
Sony Corporation ,Information Technology ,AQ ,AQ ,94,A ,,1644726,361183,1283543,22381000,TI Tr USP ,,,,
Southern Copper Corporation ,Materials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Standard Bank Group ,Financials ,AQ ,AQ ,74,C ,,160561,11195,149366,7336,Tr Oth,,,,
Standard Chartered ,Financials ,AQ ,AQ ,77,B ,,257673,6318,251355,56685,Tr,,,,
Starbucks ,Consumer Discretionary ,AQ ,AQ ,65,C ,,1014105,209828,804277,-,,,,,
State Bank of India ,Financials ,AQ ,AQ ,24,-,,-,-,-,-,,,,,
State Street ,Financials ,AQ ,AQ ,84,B ,,146754,5683,141071,20855,Tr ,,,,
Statoil ,Energy ,AQ ,AQ ,60,E ,,14407321,14179708,227613,37000,Tr,,,,
Steel Authority of India ,Materials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Stryker ,Health Care ,DP ,AQ ,-,-,,-,-,-,-,,,,,
Sumitomo Mitsui Financial Group ,Financials ,AQ ,AQ ,46,-,NP,-,-,-,-,-,,,,
Sun Hung Kai Properties ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
Suncor Energy ,Energy ,AQ ,AQ ,92,A-,,19228524,17039586,2188938,40728,Tr EC Oth ,,,,
Surgutneftegas ,Energy ,NR ,AQ ,-,-,,-,-,-,-,,,,,
Svenska Handelsbanken ,Financials ,AQ ,AQ ,76,C ,,8169.58,17.27,8152.31,2665.99,TI Tr,,,,
Swiss Re ,Financials ,AQ ,AQ ,91,A ,,21721,5190,16531,17665,Tr ,,,,
Swisscom ,,AQ ,AQ ,85,B ,,31077,25422,5655,1570,Tr,,,,
Syngenta International ,Materials ,AQ ,AQ ,88,B ,,985000,684000,301000,319000,TI Tr ,,,,
Sysco ,Consumer Staples ,NR ,NR ,-,-,,-,-,-,-,,,,,
T. IS BANKASI ,Financials ,NR ,DP ,-,-,,-,-,-,-,,,,,
T.GARANTI BANKASI ,Financials ,AQ ,AQ ,74,C ,,59969.48,10703.47,49266.01,1324,Tr,,,,
Taiwan Semiconductor Manufacturing ,Information Technology ,AQ ,AQ ,83,B ,,4427145,1836591,2590554,2493468,PGS Tr TSP Oth,,,,
Takeda Pharmaceutical ,Health Care ,AQ ,AQ ,63,B ,,294609,147880,146729,7719,TSP,,,,
Talisman Energy ,Energy ,AQ ,AQ ,36,-,,12792000,12618000,174000,-,,,,,
Target ,Consumer Discretionary ,AQ ,AQ ,77,C ,,3129941,414968,2714973,22986,Tr,,,,
Tata Consultancy Services ,Information Technology ,AQ ,AQ ,86,C ,,302684,33064,269620,-,Oth ,,,,
Teck ,Materials ,AQ ,AQ ,68,E ,,2948297,2689678,258619,1886,Tr,,,,
Telecom Italia ,,AQ ,AQ ,73,B ,,974305,146045,828260,85829,Tr EC ,,,,
Telefonica ,,AQ ,AQ ,90,B ,,1814799,126652,1688147,47795,TI Tr EC ,,,,
Telekom Indonesia ,,NR ,NR ,-,-,,-,-,-,-,,,,,
Telenor Group ,,AQ ,AQ ,72,C ,,1059344,344881,714463,25120,Fu TI Tr ,,,,
TeliaSonera ,,AQ ,AQ ,72,C ,,263823,18154,245669,35877,PGS Tr TSP,,,,
Telstra Corporation ,,AQ ,AQ ,70,D ,,1482493,81803,1400690,241396,Fu Wa Tr Oth,,,,
Tenaris ,Energy ,NR ,NR ,-,-,,-,-,-,-,-,,,,
Tencent Holdings ,Financials ,NR ,NR ,-,-,,-,-,-,-,-,,,,
Tesco ,Consumer Staples ,AQ ,AQ ,97,A ,,3152927,1889765,3483297,62233,Tr ,,,,
Teva Pharmaceutical Industries ,Health Care ,AQ ,NR ,59,E ,,695441.75,193603.09,501838.66,-,,,,,
Texas Instruments ,Information Technology ,AQ ,AQ ,52,E ,,1956912,831460,1125452,-,,,,,
The Southern Company ,Utilities ,AQ ,IN ,52,D ,,132000000,132000000,-,-,,,,,
The Tokyo Electric Power (TEPCO) ,Utilities ,DP ,AQ ,-,-,,-,-,-,-,,,,,
Thermo Fisher Scientific ,Health Care ,AQ ,AQ ,35,-,,-,-,-,-,,,,,
Thomson Reuters ,Consumer Discretionary ,AQ ,AQ ,63,D ,NP,-,-,-,-,-,,,,
ThyssenKrupp ,Industrials ,AQ ,AQ ,67,D ,,28867441,24085967,4781474,-,,,,,
Time Warner ,Consumer Discretionary ,AQ ,AQ ,45,-,,260618,24767,235851,50525,Tr,,,,
Time Warner Cable ,Consumer Discretionary ,NR ,DP ,-,-,,-,-,-,-,,,,,
TJX Companies ,Consumer Discretionary ,AQ ,AQ ,82,C ,,762410,64250,698160,14300,Tr ,,,,
Tokio Marine Holdings ,Financials ,AQ ,AQ ,79,B ,,69145,17129,52016,4379,Tr ,,,,
Toronto-Dominion Bank ,Financials ,AQ ,AQ ,60,C ,,196180,42464,153716,38561,Tr Ld,,,,
Toshiba ,Information Technology ,AQ ,AQ ,68,C ,,2513970,570197,1943773,59079,TI,,,,
Total ,Energy ,AQ ,AQ ,81,B ,,57000000,51600000,5400000,633600000,TSP USP ,,,,
Toyota Motor ,Consumer Discretionary ,AQ ,AQ ,73,D ,,7057000,2792000,4265000,334145,TI Tr,,,,
TransCanada ,Energy ,NR ,AQ ,-,-,,-,-,-,-,,,,,
Transocean ,Energy ,AQ ,AQ ,71,C ,,1768402,1761738,6664,94699,Tr Oth,,,,
Travelers Companies ,Financials ,AQ ,AQ ,60,D ,,88472,37084,51388,-,,,,,
Tullow Oil ,Energy ,AQ ,AQ ,50,D ,,294531.13,294531.13,-,-,,,,,
Tyco International ,Industrials ,AQ ,AQ ,66,C ,NP,-,-,-,-,-,,,,
U.S. BanCorp ,Financials ,AQ ,AQ ,70,C ,,411379,40445,370934,24256,Tr,,,,
UBS ,Financials ,AQ ,AQ ,91,A ,,276046,27153,248893,89957,PGS Wa Tr ,,,,
Unibail-Rodamco ,Financials ,AQ ,AQ ,75,C ,,117902,22366,95536,1374,Tr ,,,,
Unicredit Group ,Financials ,AQ ,AQ ,70,D ,,469550,100100,369450,24836,Wa Tr Oth,,,,
Unilever ,Consumer Staples ,AQ ,AQ ,79,B ,,2599158,1125515,1473643,-,,,,,
Union Pacific ,Industrials ,AQ ,AQ ,57,D ,,11560004,11207344,352660,-,,,,,
UnitedHealth Group ,Health Care ,AQ ,AQ ,74,D ,NP,-,-,-,-,-,,,,
United Overseas Bank ,Financials ,NR ,NR ,-,-,,-,-,-,-,,,,,
United Technologies ,Industrials ,AQ ,AQ ,58,D ,,1914377,946075,968302,66336,Tr,,,,
UPS ,Industrials ,AQ ,AQ ,99,A-,,12630498,11712803,917695,9864729,Fu Tr EC TSP Fr ,,,,
VALE ,Materials ,AQ ,AQ ,93,B ,,19993423,18711050.35,1282372.68,91212923,PGS TI Tr EC TSP PSP USP ,,,,
Verizon Communications ,,AQ ,AQ ,61,C ,,6062598,567297,5495301,-,,,,,
Viacom ,Consumer Discretionary ,AQ ,AQ ,17,-,NP,-,-,-,-,-,,,,
Vinci ,Industrials ,AQ ,AQ ,75,B ,,2150000,1971500,178500,12862206,USP ,,,,
Visa ,Information Technology ,AQ ,DP ,40,-,NP,-,-,-,-,-,,,,
Vivendi Universal ,Consumer Discretionary ,AQ ,AQ ,51,E ,,296901,22308,274593,28430,Tr,,,,
Vodafone Group ,,AQ ,AQ ,81,B ,,2325463,414121,1911342,2295731,Tr In ,,,,
Volkswagen ,Consumer Discretionary ,AQ ,AQ ,91,B ,,7594928,1287439,6307489,23456849,PGS TI TSP USP ,,,,
Volvo ,Industrials ,AQ ,AQ ,57,D ,NP,-,-,-,-,-,,,,
VTB Bank ,Financials ,NR ,DP ,-,-,,-,-,-,-,,,,,
Wal-Mart de Mexico ,Consumer Staples ,AQ ,AQ(SA) ,51,D ,,1023120,477449,545671,147433,TI Tr,,,,
Wal-Mart Stores ,Consumer Staples ,AQ ,AQ ,85,B ,,21365864,5883816,15482048,42841,TI Tr ,,,,
Walgreens ,Consumer Staples ,AQ ,AQ ,66,C ,,2252701,280991,1971710,-,,,,,
Walt Disney Company ,Consumer Discretionary ,AQ ,AQ ,51,C ,,1465646,550782,914864,-,,,,,
Waste Management ,Industrials ,AQ ,AQ ,61,C ,,24732846,24531046,201800,-,,,,,
WellPoint ,Health Care ,AQ ,AQ ,66,D ,,159871,7151,152720,84493,Tr EC,,,,
Wells Fargo & Company ,Financials ,AQ ,AQ ,81,A-,,1602788,116858,1485930,124316,Tr ,,,,
Wesfarmers ,Financials ,AQ ,AQ ,66,B ,,5510532,2703397,2807135,660642,Fu Wa Tr ,,,,
Westfield Group ,Financials ,AQ ,AQ ,74,C ,,513557,30975,482582,175940,PGS Fu Wa Tr EC ,,,,
Westpac Banking ,Financials ,AQ ,AQ ,96,A ,,200165,9573,190592,70646,Fu Wa Tr ,,,,
Wharf Holdings ,Financials ,NR ,DP ,-,-,,-,-,-,-,,,,,
Wilmar International ,Consumer Staples ,IN ,AQ ,-,-,,-,-,-,-,,,,,
Wipro ,Information Technology ,AQ(L) ,AQ ,-,-,,-,-,-,-,,,,,
Woodside Petroleum ,Energy ,AQ ,AQ ,68,B ,,8326829,8304547,22282,-,,,,,
Woolworths ,Consumer Staples ,AQ ,AQ ,80,B ,,3005155,489347,2515808,724600,TI Wa ,,,,
Xstrata ,Materials ,AQ ,AQ ,75,C ,NP,-,-,-,-, ,,,,
Yahoo Japan ,Information Technology ,AQ ,AQ ,11,-,NP,-,-,-,-, ,,,,
Yahoo! ,Information Technology ,AQ ,AQ ,36,-,,-,-,-,49342,Tr EC,,,,
Yum! Brands ,Consumer Discretionary ,AQ ,AQ ,61,D ,NP,-,-,-,-,-,,,,
Zurich Financial ,Financials ,AQ ,AQ ,63,D ,NP,-,-,-,-,-,,,,
