Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
Panama,1971,1.34,0.32,0.77,0.11,
Papua New Guinea,1971,,,,,
Paraguay,1971,0.07,0.07,0.39,0.03,
Peru,1971,2.43,4.17,5.21,3.76,
Philippines,1971,6.04,5.18,8.84,2.99,
Poland,1971,145.86,54.66,27.74,58.41,
Portugal,1971,3.2,4.78,3.9,2.56,
Qatar,1971,1.17,0.81,0.23,0.01,
Romania,1971,43.77,44.05,8.2,18.84,
Russian Federation,1971,,,,,
Rwanda,1971,,,,,
Saint Kitts & Nevis,1971,,,,,
Saint Lucia,1971,,,,,
Saint Vincent & Grenadines,1971,,,,,
Samoa,1971,,,,,
Sao Tome & Principe,1971,,,,,
Saudi Arabia,1971,6.94,1.95,3.29,0.57,
Senegal,1971,0.39,0.32,0.43,0.07,
Serbia,1971,10.27725292,9.53882634,3.649408961,2.980603232,
Seychelles,1971,,,,,
Sierra Leone,1971,,,,,
Singapore,1971,3.75,0.55,1.51,0.32,
Slovakia,1971,10.11,17.49,4.22,7.24,
Slovenia,1971,1.36712262,2.65041055,1.953040553,1.068056148,
Solomon Islands,1971,,,,,
South Africa,1971,65.81,45.73,28.3,16.86,
Spain,1971,28.45,49.4,25.28,16.77,
Sri Lanka,1971,0.25,0.32,1.34,0.84,
Sudan,1971,0.25,0.67,2.03,0.31,
Suriname,1971,,,,,
Swaziland,1971,,,,,
Sweden,1971,10.17,23.63,13.85,34.78,
Switzerland,1971,2.1,9.05,9.18,18.62,
Syria,1971,1.23,2.26,1.43,1.1,
Taiwan,1971,10.88,13.73,2.42,3.95,
Tajikistan,1971,,,,,
Tanzania,1971,0.27,0.36,0.7,0.19,
Thailand,1971,2.96,4.49,5.67,3.12,
Togo,1971,0.07,0,0.2,0.06,
Tonga,1971,,,,,
Trinidad & Tobago,1971,4.42,0.87,0.72,0.14,
Tunisia,1971,1.02,0.96,0.88,0.83,
Turkey,1971,10.12,8.37,10.96,11.96,
Turkmenistan,1971,,,,,
Uganda,1971,,,,,
Ukraine,1971,,,,,
United Arab Emirates,1971,0.15,1.9,0.4,0,
United Kingdom,1971,263.69,161.03,73.71,125.02,
United States of America,1971,1413.61,908.77,1081.17,887.77,
Uruguay,1971,1.06,1.51,1.7,0.94,
Uzbekistan,1971,,,,,
Vanuatu,1971,,,,,
Venezuela,1971,27.69,9.46,11.87,3.04,
Vietnam,1971,1.83,0.09,2.78,11.44,
Yemen,1971,0.37,0,0.65,0.17,
Zambia,1971,0.35,2.19,0.62,0.26,
Zimbabwe,1971,1.33,2.75,2.05,1.1,
World,1971,4468.97,3828.36,2346.25,2924.09,
European Union (15),1971,993.4,865.86,383.78,752.88,
European Union (28),1971,1277.226531,1086.776076,448.2186133,921.8273032,
Afghanistan,1972,,,,,
Albania,1972,0.83,1.82,0.77,1.07,
Algeria,1972,3.31,1.98,2.61,2.09,
Angola,1972,0.25,0.39,1.7,0.14,
Antigua & Barbuda,1972,,,,,
Argentina,1972,30.8,15,25.53,12.41,
Armenia,1972,,,,,
